N,button_coverage,dead_repeat_rate,family,file,game,length,level,longest_streak,mean_first_try,nochange_rate,novel_alt_frac,novel_frac,outcome,retry,run,solved,valid_coverage
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,41,1,4,5.0,0.0,0.3,0.3,solved,0,arc3-job1-control,True,0.75
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,41,1,5,7.5,0.0,0.55,0.5,solved,0,arc3-job1-control,True,0.75
40,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,41,1,5,12.5,0.0,0.525,0.375,solved,0,arc3-job1-control,True,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,41,1,,,,,,solved,,arc3-job1-control,True,
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p0_events.jsonl,bp35,2,2,,,,,,died,,arc3-job1-control,False,
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,26,1,5,6.25,0.0,0.4,0.3,died,0,arc3-job1-control,False,0.75
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,26,1,6,8.75,0.0,0.25,0.15,died,0,arc3-job1-control,False,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,26,1,,,,,,died,,arc3-job1-control,False,
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,15,1,5,6.25,0.0,0.5,0.4,truncated,2,arc3-job1-control,False,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p1_events.jsonl,bp35,15,1,,,,,,truncated,,arc3-job1-control,False,
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,54,1,2,4.25,0.0,0.8,0.9,died,0,arc3-job1-control,False,0.75
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,54,1,3,6.75,0.0,0.7,0.55,died,0,arc3-job1-control,False,0.75
40,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,54,1,4,11.75,0.0,0.575,0.55,died,0,arc3-job1-control,False,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,54,1,,,,,,died,,arc3-job1-control,False,
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,20,1,7,6.25,0.0,0.4,0.3,truncated,2,arc3-job1-control,False,0.75
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,20,1,8,8.75,0.0,0.3,0.15,truncated,2,arc3-job1-control,False,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p2_events.jsonl,bp35,20,1,,,,,,truncated,,arc3-job1-control,False,
10,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p3_events.jsonl,bp35,22,1,4,4.25,0.0,0.4,0.3,died,0,arc3-job1-control,False,0.75
20,0.6666666666666666,0.0,Flash-Next (Kaggle),bp35-0a0ad940_p3_events.jsonl,bp35,22,1,7,6.75,0.0,0.6,0.15,died,0,arc3-job1-control,False,0.75
0,,,Flash-Next (Kaggle),bp35-0a0ad940_p3_events.jsonl,bp35,22,1,,,,,,died,,arc3-job1-control,False,
10,0.6,0.4,Flash-Next (Kaggle),g50t-5849a774_p0_events.jsonl,g50t,47,1,4,6.2,0.2,0.4,0.3,truncated,0,arc3-job1-control,False,0.6
20,0.8,0.55,Flash-Next (Kaggle),g50t-5849a774_p0_events.jsonl,g50t,47,1,5,9.4,0.25,0.3,0.2,truncated,0,arc3-job1-control,False,0.8
