ts_utc,gpu_util_pct,gpu_mem_used_mib,gpu_mem_total_mib,gpu_power_w,cpu_util_pct,mem_used_mib,mem_total_mib
2026-09-05T20:53:28Z,0,0,97887,48.58,5.7,2426,181111
2026-09-05T20:53:49Z,0,0,97887,48.55,1.0,2770,181111
2026-09-05T20:54:09Z,0,3,97887,48.50,1.3,4743,181111
2026-09-05T20:54:29Z,0,3,97887,48.32,2.4,7027,181111
2026-09-05T20:54:49Z,1,77922,97887,89.85,2.4,8788,181111
2026-09-05T20:55:09Z,1,77922,97887,90.30,0.9,8700,181111
2026-09-05T20:55:29Z,1,77922,97887,90.45,0.9,8681,181111
2026-09-05T20:55:49Z,1,77922,97887,90.73,1.3,8703,181111
2026-09-05T20:56:09Z,1,77922,97887,90.83,0.9,8676,181111
2026-09-05T20:56:29Z,1,77922,97887,90.99,0.9,8652,181111
2026-09-05T20:56:49Z,1,77922,97887,91.02,1.0,11947,181111
2026-09-05T20:57:09Z,1,77922,97887,90.83,0.9,20406,181111
2026-09-05T20:57:29Z,1,77922,97887,90.83,0.3,27810,181111
2026-09-05T20:57:49Z,0,78362,97887,90.66,0.8,36701,181111
2026-09-05T20:58:09Z,0,78362,97887,90.76,0.3,45592,181111
2026-09-05T20:58:29Z,0,78362,97887,90.71,0.4,54460,181111
2026-09-05T20:58:49Z,0,80136,97887,90.76,1.5,59016,181111
2026-09-05T20:59:09Z,0,0,97887,49.82,1.9,4172,181111
2026-09-05T20:59:29Z,0,0,97887,49.08,0.5,4609,181111
2026-09-05T20:59:49Z,0,3,97887,48.75,2.4,5627,181111
2026-09-05T21:00:09Z,1,77205,97887,89.91,2.7,8527,181111
2026-09-05T21:00:29Z,4,77922,97887,91.32,3.5,50560,181111
2026-09-05T21:00:49Z,4,77922,97887,91.64,2.4,57711,181111
2026-09-05T21:01:09Z,0,80136,97887,90.55,2.2,59153,181111
2026-09-05T21:01:29Z,0,93160,97887,91.59,2.1,60291,181111
2026-09-05T21:01:49Z,0,93160,97887,91.23,2.3,60919,181111
2026-09-05T21:02:09Z,100,95762,97887,466.84,3.1,60809,181111
2026-09-05T21:02:29Z,0,95762,97887,86.67,2.6,60912,181111
2026-09-05T21:02:49Z,100,95762,97887,338.25,2.8,60775,181111
2026-09-05T21:03:09Z,99,95762,97887,303.73,6.0,60590,181111
2026-09-05T21:03:29Z,99,95764,97887,424.08,7.2,60748,181111
2026-09-05T21:03:49Z,100,95764,97887,408.93,6.0,60772,181111
2026-09-05T21:04:09Z,99,95766,97887,449.73,7.0,60951,181111
2026-09-05T21:04:29Z,100,95768,97887,397.84,6.0,60886,181111
2026-09-05T21:04:49Z,100,95778,97887,399.87,5.8,60895,181111
2026-09-05T21:05:09Z,100,95778,97887,452.97,5.9,60851,181111
2026-09-05T21:05:30Z,99,95778,97887,462.69,5.8,60870,181111
2026-09-05T21:05:50Z,100,95778,97887,456.56,6.0,60905,181111
2026-09-05T21:06:10Z,100,95780,97887,418.44,6.3,61114,181111
2026-09-05T21:06:30Z,100,95782,97887,399.77,6.6,61088,181111
2026-09-05T21:06:50Z,98,95784,97887,499.14,5.8,61020,181111
2026-09-05T21:07:10Z,100,95788,97887,449.43,6.0,61015,181111
2026-09-05T21:07:30Z,100,95790,97887,431.09,5.8,61041,181111
2026-09-05T21:07:50Z,100,95790,97887,398.46,5.9,61007,181111
2026-09-05T21:08:10Z,100,95798,97887,399.65,5.8,61038,181111
2026-09-05T21:08:30Z,100,95798,97887,442.82,6.5,61251,181111
2026-09-05T21:08:50Z,100,95798,97887,486.68,6.3,61176,181111
2026-09-05T21:09:10Z,100,95798,97887,401.16,6.0,61115,181111
2026-09-05T21:09:30Z,98,95800,97887,453.95,5.8,61121,181111
2026-09-05T21:09:50Z,100,95800,97887,399.63,5.8,61096,181111
2026-09-05T21:10:10Z,100,95800,97887,426.88,5.8,61108,181111
2026-09-05T21:10:30Z,100,95800,97887,425.85,5.8,61113,181111
2026-09-05T21:10:50Z,99,95800,97887,489.33,6.7,61399,181111
2026-09-05T21:11:10Z,100,95812,97887,395.63,5.8,61220,181111
2026-09-05T21:11:30Z,100,95812,97887,394.10,5.5,61184,181111
2026-09-05T21:11:50Z,100,95812,97887,481.16,5.5,61215,181111
2026-09-05T21:12:10Z,100,95812,97887,389.95,5.6,61184,181111
