benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-09-05 21:03:13
ended:     in progress
mean score:    1.28
median score:  0.00
total actions: 513
total tokens:  457144
generated tokens/sec: 379.28 (job wallclock)
total wallclock: 22641.1s

per-game (mean across passes):
  ar25-0c556536: score=8.33, levels=2.0/8, actions=33, tokens=19147
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=19, tokens=21862
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=15, tokens=24848
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=19, tokens=24550
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=21, tokens=22945
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=0, tokens=0
  g50t-5849a774: score=0.00, levels=0.0/7, actions=0, tokens=0
  ka59-38d34dbb: score=3.11, levels=1.0/7, actions=30, tokens=21538
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=21, tokens=23027
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=13, tokens=23583
  ls20-9607627b: score=3.57, levels=1.0/7, actions=22, tokens=18025
  m0r0-492f87ba: score=4.76, levels=1.0/6, actions=29, tokens=22561
  r11l-495a7899: score=0.00, levels=0.0/6, actions=8, tokens=21999
  re86-8af5384d: score=0.00, levels=0.0/8, actions=0, tokens=0
  s5i5-18d95033: score=2.78, levels=1.0/8, actions=18, tokens=19070
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=29, tokens=15206
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=52, tokens=23866
  sk48-d8078629: score=0.00, levels=0.0/8, actions=16, tokens=17524
  sp80-589a99af: score=0.00, levels=0.0/6, actions=23, tokens=19902
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=15, tokens=21366
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=15, tokens=15235
  tr87-cd924810: score=0.00, levels=0.0/6, actions=19, tokens=20539
  tu93-0768757b: score=1.39, levels=1.0/9, actions=29, tokens=13244
  vc33-5430563c: score=0.36, levels=1.0/7, actions=37, tokens=23820
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=30, tokens=23287
