benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-09-05 20:59:07
ended:     in progress
mean score:    2.18
median score:  1.82
total actions: 791
total tokens:  634503
generated tokens/sec: 350.89 (job wallclock)
total wallclock: 35176.0s

per-game (mean across passes):
  ar25-0c556536: score=2.78, levels=1.0/8, actions=37, tokens=25737
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=29, tokens=31026
  cd82-fb555c5d: score=4.76, levels=1.0/6, actions=27, tokens=27314
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=20, tokens=27867
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=55, tokens=27374
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=0, tokens=0
  g50t-5849a774: score=0.00, levels=0.0/7, actions=0, tokens=0
  ka59-38d34dbb: score=3.57, levels=1.0/7, actions=27, tokens=33774
  lf52-271a04aa: score=1.82, levels=1.0/10, actions=42, tokens=29736
  lp85-305b61c3: score=8.33, levels=2.0/8, actions=24, tokens=24060
  ls20-9607627b: score=3.57, levels=1.0/7, actions=45, tokens=28538
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=21, tokens=31935
  r11l-495a7899: score=0.00, levels=0.0/6, actions=10, tokens=29589
  re86-8af5384d: score=0.00, levels=0.0/8, actions=0, tokens=0
  s5i5-18d95033: score=2.78, levels=1.0/8, actions=30, tokens=30715
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=48, tokens=29196
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=25, tokens=26537
  sk48-d8078629: score=0.00, levels=0.0/8, actions=17, tokens=30350
  sp80-589a99af: score=0.00, levels=0.0/6, actions=33, tokens=32810
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=52, tokens=25149
  tn36-ef4dde99: score=3.57, levels=1.0/7, actions=67, tokens=31057
  tr87-cd924810: score=4.76, levels=1.0/6, actions=41, tokens=28884
  tu93-0768757b: score=4.63, levels=2.0/9, actions=41, tokens=26834
  vc33-5430563c: score=8.90, levels=2.0/7, actions=28, tokens=23621
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=72, tokens=32400
