benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-09-12 17:58:20
ended:     2026-09-12 18:13:35
duration:  15m 14s
mean score:    0.49
median score:  0.00
total actions: 384
total tokens:  272297
generated tokens/sec: 297.72 (job wallclock)
total wallclock: 22519.3s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=0, tokens=0
  bp35-0a0ad940: score=0.80, levels=1.0/9, actions=41, tokens=40676
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=0, tokens=0
  cn04-2fe56bfb: score=4.76, levels=1.0/6, actions=32, tokens=40211
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=114, tokens=39229
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=0, tokens=0
  g50t-5849a774: score=0.00, levels=0.0/7, actions=0, tokens=0
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=0, tokens=0
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=0, tokens=0
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=0, tokens=0
  ls20-9607627b: score=0.00, levels=0.0/7, actions=0, tokens=0
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=30, tokens=40771
  r11l-495a7899: score=0.00, levels=0.0/6, actions=0, tokens=0
  re86-8af5384d: score=0.00, levels=0.0/8, actions=0, tokens=0
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=0, tokens=0
  sb26-7fbdac44: score=0.00, levels=0.0/8, actions=0, tokens=0
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=0, tokens=0
  sk48-d8078629: score=1.79, levels=1.0/8, actions=95, tokens=41445
  sp80-589a99af: score=0.00, levels=0.0/6, actions=0, tokens=0
  su15-1944f8ab: score=0.00, levels=0.0/9, actions=0, tokens=0
  tn36-ef4dde99: score=2.67, levels=1.0/7, actions=42, tokens=39213
  tr87-cd924810: score=0.00, levels=0.0/6, actions=0, tokens=0
  tu93-0768757b: score=2.22, levels=1.0/9, actions=30, tokens=30752
  vc33-5430563c: score=0.00, levels=0.0/7, actions=0, tokens=0
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=0, tokens=0
