benchmark: a424-duck-25game
solver:    inference
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-11 20:01:18
ended:     2026-07-11 22:15:18
duration:  2h 14m 0s
mean score:    0.23
median score:  0.00
total actions: 717
total tokens:  219020
generated tokens/sec: 27.24 (job wallclock)
total wallclock: 198729.0s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=20, tokens=12700
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=233, tokens=10104
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=5, tokens=8628
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=147, tokens=7972
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=4, tokens=8123
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=1, tokens=2835
  g50t-5849a774: score=0.00, levels=0.0/7, actions=13, tokens=7265
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=3, tokens=9229
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=17, tokens=7319
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=8, tokens=7904
  ls20-9607627b: score=0.00, levels=0.0/7, actions=12, tokens=7175
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=11, tokens=8298
  r11l-495a7899: score=0.00, levels=0.0/6, actions=2, tokens=4154
  re86-8af5384d: score=0.00, levels=0.0/8, actions=18, tokens=9063
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=8, tokens=11775
  sb26-7fbdac44: score=0.00, levels=0.0/8, actions=9, tokens=9446
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=7, tokens=11210
  sk48-d8078629: score=0.00, levels=0.0/8, actions=4, tokens=5688
  sp80-589a99af: score=0.00, levels=0.0/6, actions=16, tokens=10483
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=30, tokens=10521
  tn36-ef4dde99: score=3.57, levels=1.0/7, actions=57, tokens=7770
  tr87-cd924810: score=0.00, levels=0.0/6, actions=4, tokens=11120
  tu93-0768757b: score=0.00, levels=0.0/9, actions=52, tokens=10671
  vc33-5430563c: score=0.00, levels=0.0/7, actions=11, tokens=8411
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=25, tokens=11156
