benchmark: a424-duck-think-3x
solver:    inference
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-11 23:11:59
ended:     2026-07-12 05:48:00
duration:  6h 36m 1s
mean score:    0.00
median score:  0.00
total actions: 53
total tokens:  65485
generated tokens/sec: 2.76 (job wallclock)
total wallclock: 593997.3s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=3, tokens=3783
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=7, tokens=3004
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=1, tokens=3129
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=7, tokens=2399
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=1, tokens=1966
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=2, tokens=3890
  g50t-5849a774: score=0.00, levels=0.0/7, actions=2, tokens=2470
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=2, tokens=2145
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=1, tokens=2185
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=2, tokens=3070
  ls20-9607627b: score=0.00, levels=0.0/7, actions=2, tokens=3621
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=4, tokens=4481
  r11l-495a7899: score=0.00, levels=0.0/6, actions=0, tokens=0
  re86-8af5384d: score=0.00, levels=0.0/8, actions=1, tokens=2993
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=2, tokens=3640
  sb26-7fbdac44: score=0.00, levels=0.0/8, actions=1, tokens=1452
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=2, tokens=3074
  sk48-d8078629: score=0.00, levels=0.0/8, actions=1, tokens=3004
  sp80-589a99af: score=0.00, levels=0.0/6, actions=1, tokens=1750
  su15-1944f8ab: score=0.00, levels=0.0/9, actions=4, tokens=2912
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=1, tokens=1607
  tr87-cd924810: score=0.00, levels=0.0/6, actions=1, tokens=1524
  tu93-0768757b: score=0.00, levels=0.0/9, actions=0, tokens=0
  vc33-5430563c: score=0.00, levels=0.0/7, actions=1, tokens=4075
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=4, tokens=3311
