benchmark: g4run-20260711-2359-130531
solver:    inference
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-12 13:05:34
ended:     2026-07-12 15:19:10
duration:  2h 13m 36s
mean score:    0.30
median score:  0.00
total actions: 1490
total tokens:  949834
generated tokens/sec: 118.48 (job wallclock)
total wallclock: 198421.2s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=109, tokens=43940
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=100, tokens=55227
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=21, tokens=47029
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=265, tokens=53002
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=16, tokens=12954
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=45, tokens=22785
  g50t-5849a774: score=0.00, levels=0.0/7, actions=3, tokens=33386
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=24, tokens=31398
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=7, tokens=27413
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=38, tokens=42372
  ls20-9607627b: score=0.00, levels=0.0/7, actions=41, tokens=50485
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=66, tokens=44386
  r11l-495a7899: score=0.00, levels=0.0/6, actions=1, tokens=4352
  re86-8af5384d: score=0.00, levels=0.0/8, actions=204, tokens=58178
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=22, tokens=24168
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=25, tokens=13565
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=45, tokens=32006
  sk48-d8078629: score=0.00, levels=0.0/8, actions=136, tokens=65976
  sp80-589a99af: score=0.00, levels=0.0/6, actions=62, tokens=27868
  su15-1944f8ab: score=1.87, levels=1.0/9, actions=44, tokens=52588
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=7, tokens=40851
  tr87-cd924810: score=0.00, levels=0.0/6, actions=7, tokens=24073
  tu93-0768757b: score=0.00, levels=0.0/9, actions=102, tokens=19908
  vc33-5430563c: score=0.00, levels=0.0/7, actions=26, tokens=45422
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=74, tokens=76502
