benchmark: g4run-v2-20260712-0341-130554
solver:    inference
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-12 13:05:56
ended:     2026-07-12 15:19:16
duration:  2h 13m 19s
mean score:    0.24
median score:  0.00
total actions: 1072
total tokens:  562005
generated tokens/sec: 70.26 (job wallclock)
total wallclock: 198375.5s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=3, tokens=26325
  bp35-0a0ad940: score=0.35, levels=1.0/9, actions=99, tokens=21003
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=26, tokens=32416
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=77, tokens=24377
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=14, tokens=20068
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=29, tokens=27322
  g50t-5849a774: score=0.00, levels=0.0/7, actions=28, tokens=27733
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=42, tokens=22377
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=23, tokens=15283
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=3, tokens=13187
  ls20-9607627b: score=0.00, levels=0.0/7, actions=25, tokens=32924
  m0r0-492f87ba: score=0.74, levels=1.0/6, actions=110, tokens=22122
  r11l-495a7899: score=0.00, levels=0.0/6, actions=18, tokens=28105
  re86-8af5384d: score=0.00, levels=0.0/8, actions=20, tokens=26950
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=5, tokens=10388
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=36, tokens=17171
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=16, tokens=20263
  sk48-d8078629: score=0.00, levels=0.0/8, actions=198, tokens=21718
  sp80-589a99af: score=0.00, levels=0.0/6, actions=81, tokens=21364
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=70, tokens=19739
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=20, tokens=26493
  tr87-cd924810: score=0.00, levels=0.0/6, actions=8, tokens=17165
  tu93-0768757b: score=0.00, levels=0.0/9, actions=51, tokens=8988
  vc33-5430563c: score=0.00, levels=0.0/7, actions=18, tokens=32721
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=52, tokens=25803
