benchmark: g4run-tufa0-20260712-1627-170318
solver:    inference
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-12 17:03:21
ended:     2026-07-12 19:15:54
duration:  2h 12m 33s
mean score:    0.68
median score:  0.00
total actions: 5914
total tokens:  1459058
generated tokens/sec: 183.46 (job wallclock)
total wallclock: 198143.7s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=546, tokens=56754
  bp35-0a0ad940: score=0.72, levels=1.0/9, actions=472, tokens=55159
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=248, tokens=57152
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=121, tokens=59079
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=173, tokens=58969
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=115, tokens=59658
  g50t-5849a774: score=0.00, levels=0.0/7, actions=118, tokens=59398
  ka59-38d34dbb: score=0.89, levels=1.0/7, actions=377, tokens=57737
  lf52-271a04aa: score=0.53, levels=1.0/10, actions=79, tokens=57059
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=273, tokens=59334
  ls20-9607627b: score=2.37, levels=1.0/7, actions=205, tokens=58491
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=104, tokens=57265
  r11l-495a7899: score=2.94, levels=1.0/6, actions=163, tokens=58993
  re86-8af5384d: score=0.27, levels=1.0/8, actions=320, tokens=59225
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=52, tokens=59511
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=417, tokens=58080
  sc25-635fd71a: score=0.87, levels=1.0/6, actions=138, tokens=59276
  sk48-d8078629: score=0.00, levels=0.0/8, actions=407, tokens=57741
  sp80-589a99af: score=0.35, levels=1.0/6, actions=203, tokens=59304
  su15-1944f8ab: score=1.87, levels=1.0/9, actions=95, tokens=59516
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=109, tokens=59433
  tr87-cd924810: score=0.00, levels=0.0/6, actions=414, tokens=58378
  tu93-0768757b: score=0.00, levels=0.0/9, actions=306, tokens=58667
  vc33-5430563c: score=0.61, levels=1.0/7, actions=162, tokens=59951
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=297, tokens=54928
