benchmark: g4run-tufa1-20260713-0051-010241
solver:    inference
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-13 01:02:44
ended:     2026-07-13 03:16:44
duration:  2h 14m 0s
mean score:    0.00
median score:  0.00
total actions: 207
total tokens:  98179
generated tokens/sec: 12.21 (job wallclock)
total wallclock: 200994.9s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=22, tokens=4213
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=3, tokens=3178
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=4, tokens=4309
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=16, tokens=5020
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=9, tokens=4151
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=3, tokens=4952
  g50t-5849a774: score=0.00, levels=0.0/7, actions=2, tokens=5278
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=1, tokens=2983
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=9, tokens=5322
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=1, tokens=2449
  ls20-9607627b: score=0.00, levels=0.0/7, actions=1, tokens=1511
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=8, tokens=3290
  r11l-495a7899: score=0.00, levels=0.0/6, actions=4, tokens=4762
  re86-8af5384d: score=0.00, levels=0.0/8, actions=6, tokens=4371
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=3, tokens=3652
  sb26-7fbdac44: score=0.00, levels=0.0/8, actions=9, tokens=5090
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=4, tokens=2692
  sk48-d8078629: score=0.00, levels=0.0/8, actions=17, tokens=4031
  sp80-589a99af: score=0.00, levels=0.0/6, actions=9, tokens=5914
  su15-1944f8ab: score=0.00, levels=0.0/9, actions=1, tokens=1418
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=3, tokens=3560
  tr87-cd924810: score=0.00, levels=0.0/6, actions=3, tokens=3851
  tu93-0768757b: score=0.00, levels=0.0/9, actions=51, tokens=3074
  vc33-5430563c: score=0.00, levels=0.0/7, actions=5, tokens=4834
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=13, tokens=4274
