benchmark: g4run-tufa1b-20260713-0321-033300
solver:    inference
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-13 03:33:03
ended:     2026-07-13 05:46:04
duration:  2h 13m 0s
mean score:    0.31
median score:  0.00
total actions: 1360
total tokens:  424608
generated tokens/sec: 53.20 (job wallclock)
total wallclock: 199495.6s

per-game (mean across passes):
  ar25-0c556536: score=1.14, levels=1.0/8, actions=50, tokens=17481
  bp35-0a0ad940: score=0.53, levels=1.0/9, actions=123, tokens=17334
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=60, tokens=17150
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=40, tokens=17057
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=41, tokens=17117
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=14, tokens=17600
  g50t-5849a774: score=0.00, levels=0.0/7, actions=22, tokens=17471
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=36, tokens=17731
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=24, tokens=17700
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=13, tokens=17930
  ls20-9607627b: score=0.00, levels=0.0/7, actions=55, tokens=17528
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=57, tokens=17219
  r11l-495a7899: score=0.00, levels=0.0/6, actions=39, tokens=17186
  re86-8af5384d: score=0.00, levels=0.0/8, actions=38, tokens=15643
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=22, tokens=14163
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=84, tokens=16999
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=36, tokens=17840
  sk48-d8078629: score=0.00, levels=0.0/8, actions=117, tokens=15970
  sp80-589a99af: score=0.00, levels=0.0/6, actions=63, tokens=16101
  su15-1944f8ab: score=0.37, levels=1.0/9, actions=72, tokens=17355
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=32, tokens=17087
  tr87-cd924810: score=0.00, levels=0.0/6, actions=100, tokens=16170
  tu93-0768757b: score=0.05, levels=1.0/9, actions=143, tokens=16970
  vc33-5430563c: score=0.00, levels=0.0/7, actions=14, tokens=16868
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=65, tokens=16938
