benchmark: g4run-tufa1c-20260713-0321-042335
solver:    inference
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-13 04:23:38
ended:     2026-07-13 06:36:24
duration:  2h 12m 46s
mean score:    0.64
median score:  0.00
total actions: 2218
total tokens:  676162
generated tokens/sec: 84.87 (job wallclock)
total wallclock: 198190.9s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=198, tokens=48458
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=43, tokens=15946
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=32, tokens=13940
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=133, tokens=26232
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=49, tokens=29831
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=43, tokens=26767
  g50t-5849a774: score=0.00, levels=0.0/7, actions=105, tokens=42127
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=38, tokens=28313
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=23, tokens=25743
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=50, tokens=35597
  ls20-9607627b: score=0.00, levels=0.0/7, actions=212, tokens=14915
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=19, tokens=10017
  r11l-495a7899: score=0.00, levels=0.0/6, actions=76, tokens=37487
  re86-8af5384d: score=0.00, levels=0.0/8, actions=63, tokens=21735
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=11, tokens=27227
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=16, tokens=8021
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=127, tokens=53955
  sk48-d8078629: score=0.00, levels=0.0/8, actions=160, tokens=25266
  sp80-589a99af: score=4.76, levels=1.0/6, actions=31, tokens=21758
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=57, tokens=18602
  tn36-ef4dde99: score=3.57, levels=1.0/7, actions=513, tokens=30485
  tr87-cd924810: score=0.00, levels=0.0/6, actions=6, tokens=9386
  tu93-0768757b: score=0.00, levels=0.0/9, actions=46, tokens=24365
  vc33-5430563c: score=0.00, levels=0.0/7, actions=51, tokens=47642
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=116, tokens=32347
