benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-14 15:14:26
ended:     2026-07-14 17:27:06
duration:  2h 12m 40s
mean score:    2.13
median score:  0.00
total actions: 3073
total tokens:  1722942
generated tokens/sec: 216.44 (job wallclock)
total wallclock: 198104.2s

per-game (mean across passes):
  ar25-0c556536: score=7.36, levels=2.0/8, actions=122, tokens=71760
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=128, tokens=71262
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=172, tokens=73060
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=212, tokens=72776
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=51, tokens=58836
  ft09-0d8bbf25: score=23.81, levels=3.0/6, actions=96, tokens=69578
  g50t-5849a774: score=0.00, levels=0.0/7, actions=114, tokens=64947
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=175, tokens=72383
  lf52-271a04aa: score=1.82, levels=1.0/10, actions=128, tokens=72562
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=13, tokens=55505
  ls20-9607627b: score=0.93, levels=1.0/7, actions=112, tokens=62964
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=69, tokens=72731
  r11l-495a7899: score=0.41, levels=1.0/6, actions=153, tokens=69000
  re86-8af5384d: score=4.24, levels=2.0/8, actions=128, tokens=69576
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=110, tokens=71764
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=91, tokens=66327
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=140, tokens=70968
  sk48-d8078629: score=0.00, levels=0.0/8, actions=244, tokens=72447
  sp80-589a99af: score=0.00, levels=0.0/6, actions=200, tokens=72224
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=91, tokens=71260
  tn36-ef4dde99: score=3.57, levels=1.0/7, actions=52, tokens=62940
  tr87-cd924810: score=0.00, levels=0.0/6, actions=157, tokens=71323
  tu93-0768757b: score=0.53, levels=1.0/9, actions=39, tokens=61308
  vc33-5430563c: score=2.73, levels=1.0/7, actions=111, tokens=72293
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=165, tokens=73148
