benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-14 15:31:57
ended:     2026-07-14 17:44:40
duration:  2h 12m 43s
mean score:    1.30
median score:  0.05
total actions: 3052
total tokens:  1583244
generated tokens/sec: 198.82 (job wallclock)
total wallclock: 198152.2s

per-game (mean across passes):
  ar25-0c556536: score=0.05, levels=1.0/8, actions=254, tokens=63427
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=30, tokens=65886
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=161, tokens=57070
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=237, tokens=65777
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=124, tokens=65550
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=106, tokens=66942
  g50t-5849a774: score=0.00, levels=0.0/7, actions=78, tokens=59172
  ka59-38d34dbb: score=1.75, levels=1.0/7, actions=148, tokens=65983
  lf52-271a04aa: score=0.84, levels=1.0/10, actions=142, tokens=64409
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=19, tokens=34234
  ls20-9607627b: score=0.00, levels=0.0/7, actions=43, tokens=59549
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=145, tokens=66505
  r11l-495a7899: score=4.76, levels=1.0/6, actions=49, tokens=66769
  re86-8af5384d: score=6.43, levels=2.0/8, actions=122, tokens=66279
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=57, tokens=65907
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=93, tokens=65248
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=116, tokens=63310
  sk48-d8078629: score=2.78, levels=1.0/8, actions=79, tokens=66217
  sp80-589a99af: score=0.48, levels=1.0/6, actions=220, tokens=64685
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=189, tokens=66257
  tn36-ef4dde99: score=3.57, levels=1.0/7, actions=88, tokens=65965
  tr87-cd924810: score=0.00, levels=0.0/6, actions=152, tokens=62967
  tu93-0768757b: score=3.01, levels=2.0/9, actions=99, tokens=64699
  vc33-5430563c: score=1.04, levels=1.0/7, actions=73, tokens=64886
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=228, tokens=65551
