benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-14 15:42:42
ended:     2026-07-14 17:54:55
duration:  2h 12m 12s
mean score:    0.00
median score:  0.00
total actions: 3230
total tokens:  3371122
generated tokens/sec: 424.97 (job wallclock)
total wallclock: 198102.9s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=202, tokens=220238
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=50, tokens=170353
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=12, tokens=22402
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=397, tokens=262665
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=28, tokens=88142
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=9, tokens=299255
  g50t-5849a774: score=0.00, levels=0.0/7, actions=149, tokens=101003
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=103, tokens=200886
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=65, tokens=69092
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=4, tokens=48948
  ls20-9607627b: score=0.00, levels=0.0/7, actions=1, tokens=6688
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=20, tokens=137214
  r11l-495a7899: score=0.00, levels=0.0/6, actions=62, tokens=32242
  re86-8af5384d: score=0.00, levels=0.0/8, actions=82, tokens=289922
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=51, tokens=115733
  sb26-7fbdac44: score=0.00, levels=0.0/8, actions=224, tokens=186833
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=265, tokens=39147
  sk48-d8078629: score=0.00, levels=0.0/8, actions=1, tokens=8134
  sp80-589a99af: score=0.00, levels=0.0/6, actions=105, tokens=255116
  su15-1944f8ab: score=0.00, levels=0.0/9, actions=346, tokens=117549
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=248, tokens=266996
  tr87-cd924810: score=0.00, levels=0.0/6, actions=130, tokens=50667
  tu93-0768757b: score=0.00, levels=0.0/9, actions=0, tokens=0
  vc33-5430563c: score=0.00, levels=0.0/7, actions=296, tokens=251883
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=380, tokens=130014
