benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-15 12:04:08
ended:     2026-07-15 14:16:08
duration:  2h 12m 0s
mean score:    0.00
median score:  0.00
total actions: 1565
total tokens:  386460
generated tokens/sec: 48.79 (job wallclock)
total wallclock: 198009.1s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=63, tokens=33979
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=88, tokens=20647
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=83, tokens=34692
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=88, tokens=21557
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=76, tokens=45317
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=0, tokens=0
  g50t-5849a774: score=0.00, levels=0.0/7, actions=46, tokens=14183
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=0, tokens=0
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=65, tokens=16491
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=67, tokens=45478
  ls20-9607627b: score=0.00, levels=0.0/7, actions=0, tokens=0
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=130, tokens=41909
  r11l-495a7899: score=0.00, levels=0.0/6, actions=61, tokens=21897
  re86-8af5384d: score=0.00, levels=0.0/8, actions=421, tokens=14472
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=0, tokens=0
  sb26-7fbdac44: score=0.00, levels=0.0/8, actions=118, tokens=7418
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=0, tokens=0
  sk48-d8078629: score=0.00, levels=0.0/8, actions=0, tokens=0
  sp80-589a99af: score=0.00, levels=0.0/6, actions=3, tokens=2961
  su15-1944f8ab: score=0.00, levels=0.0/9, actions=70, tokens=24829
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=0, tokens=0
  tr87-cd924810: score=0.00, levels=0.0/6, actions=1, tokens=2600
  tu93-0768757b: score=0.00, levels=0.0/9, actions=95, tokens=20843
  vc33-5430563c: score=0.00, levels=0.0/7, actions=90, tokens=17187
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=0, tokens=0
