benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-15 10:55:40
ended:     2026-07-15 13:08:14
duration:  2h 12m 33s
mean score:    0.64
median score:  0.00
total actions: 1710
total tokens:  706692
generated tokens/sec: 88.85 (job wallclock)
total wallclock: 198106.9s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=95, tokens=43586
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=13, tokens=17891
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=90, tokens=37101
  cn04-2fe56bfb: score=1.15, levels=1.0/6, actions=213, tokens=42893
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=4, tokens=4349
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=25, tokens=39073
  g50t-5849a774: score=0.00, levels=0.0/7, actions=1, tokens=1430
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=53, tokens=49247
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=13, tokens=30551
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=10, tokens=19287
  ls20-9607627b: score=0.00, levels=0.0/7, actions=37, tokens=25226
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=52, tokens=61127
  r11l-495a7899: score=0.00, levels=0.0/6, actions=11, tokens=33047
  re86-8af5384d: score=0.00, levels=0.0/8, actions=34, tokens=30799
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=6, tokens=14882
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=83, tokens=34157
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=257, tokens=46887
  sk48-d8078629: score=0.00, levels=0.0/8, actions=6, tokens=23300
  sp80-589a99af: score=0.00, levels=0.0/6, actions=43, tokens=39523
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=54, tokens=11876
  tn36-ef4dde99: score=3.57, levels=1.0/7, actions=70, tokens=15888
  tr87-cd924810: score=0.00, levels=0.0/6, actions=30, tokens=18357
  tu93-0768757b: score=0.00, levels=0.0/9, actions=255, tokens=27139
  vc33-5430563c: score=3.57, levels=1.0/7, actions=54, tokens=26806
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=201, tokens=12270
