benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-15 11:42:00
ended:     2026-07-15 13:54:01
duration:  2h 12m 0s
mean score:    0.16
median score:  0.00
total actions: 1382
total tokens:  351934
generated tokens/sec: 44.43 (job wallclock)
total wallclock: 198009.5s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=94, tokens=13196
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=25, tokens=12950
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=127, tokens=18033
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=30, tokens=19487
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=54, tokens=15133
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=4, tokens=8246
  g50t-5849a774: score=0.00, levels=0.0/7, actions=31, tokens=15674
  ka59-38d34dbb: score=1.08, levels=1.0/7, actions=59, tokens=18682
  lf52-271a04aa: score=1.82, levels=1.0/10, actions=22, tokens=16926
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=4, tokens=8606
  ls20-9607627b: score=0.00, levels=0.0/7, actions=107, tokens=14412
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=167, tokens=14820
  r11l-495a7899: score=0.00, levels=0.0/6, actions=9, tokens=15326
  re86-8af5384d: score=0.00, levels=0.0/8, actions=84, tokens=17294
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=38, tokens=16072
  sb26-7fbdac44: score=1.00, levels=1.0/8, actions=36, tokens=10281
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=34, tokens=16085
  sk48-d8078629: score=0.00, levels=0.0/8, actions=129, tokens=16671
  sp80-589a99af: score=0.00, levels=0.0/6, actions=62, tokens=13086
  su15-1944f8ab: score=0.00, levels=0.0/9, actions=34, tokens=12066
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=42, tokens=13300
  tr87-cd924810: score=0.00, levels=0.0/6, actions=9, tokens=6756
  tu93-0768757b: score=0.00, levels=0.0/9, actions=153, tokens=13389
  vc33-5430563c: score=0.00, levels=0.0/7, actions=8, tokens=9926
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=20, tokens=15517
