benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-18 00:04:22
ended:     2026-07-18 02:17:01
duration:  2h 12m 39s
mean score:    1.72
median score:  0.36
total actions: 3203
total tokens:  1630254
generated tokens/sec: 204.82 (job wallclock)
total wallclock: 198106.2s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=122, tokens=68890
  bp35-0a0ad940: score=0.08, levels=1.0/9, actions=289, tokens=67017
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=139, tokens=68423
  cn04-2fe56bfb: score=0.40, levels=1.0/6, actions=120, tokens=68652
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=39, tokens=66777
  ft09-0d8bbf25: score=7.23, levels=2.0/6, actions=64, tokens=60052
  g50t-5849a774: score=0.00, levels=0.0/7, actions=97, tokens=67103
  ka59-38d34dbb: score=1.04, levels=1.0/7, actions=83, tokens=65289
  lf52-271a04aa: score=1.82, levels=1.0/10, actions=257, tokens=68104
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=38, tokens=64124
  ls20-9607627b: score=0.00, levels=0.0/7, actions=189, tokens=68183
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=153, tokens=67790
  r11l-495a7899: score=4.76, levels=1.0/6, actions=75, tokens=67743
  re86-8af5384d: score=2.46, levels=2.0/8, actions=134, tokens=68189
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=48, tokens=68751
  sb26-7fbdac44: score=3.24, levels=2.0/8, actions=315, tokens=59689
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=163, tokens=68809
  sk48-d8078629: score=0.00, levels=0.0/8, actions=278, tokens=67745
  sp80-589a99af: score=3.02, levels=1.0/6, actions=178, tokens=68207
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=113, tokens=66436
  tn36-ef4dde99: score=3.57, levels=1.0/7, actions=50, tokens=60175
  tr87-cd924810: score=0.00, levels=0.0/6, actions=53, tokens=47689
  tu93-0768757b: score=0.36, levels=1.0/9, actions=57, tokens=49167
  vc33-5430563c: score=9.98, levels=2.0/7, actions=52, tokens=69019
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=97, tokens=68231
