benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-18 01:00:11
ended:     2026-07-18 03:13:11
duration:  2h 12m 59s
mean score:    1.52
median score:  0.00
total actions: 3729
total tokens:  1628957
generated tokens/sec: 204.14 (job wallclock)
total wallclock: 198167.3s

per-game (mean across passes):
  ar25-0c556536: score=2.78, levels=1.0/8, actions=181, tokens=67125
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=378, tokens=65361
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=166, tokens=66581
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=133, tokens=67920
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=38, tokens=68221
  ft09-0d8bbf25: score=14.29, levels=2.0/6, actions=37, tokens=42931
  g50t-5849a774: score=0.00, levels=0.0/7, actions=102, tokens=68224
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=85, tokens=68198
  lf52-271a04aa: score=1.82, levels=1.0/10, actions=107, tokens=58307
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=28, tokens=60956
  ls20-9607627b: score=0.00, levels=0.0/7, actions=84, tokens=67249
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=221, tokens=67093
  r11l-495a7899: score=3.41, levels=1.0/6, actions=76, tokens=67679
  re86-8af5384d: score=2.78, levels=1.0/8, actions=84, tokens=54558
  s5i5-18d95033: score=0.27, levels=1.0/8, actions=64, tokens=68258
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=591, tokens=65426
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=232, tokens=67042
  sk48-d8078629: score=0.00, levels=0.0/8, actions=72, tokens=68781
  sp80-589a99af: score=0.55, levels=1.0/6, actions=183, tokens=68028
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=209, tokens=65539
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=40, tokens=66943
  tr87-cd924810: score=0.00, levels=0.0/6, actions=161, tokens=65043
  tu93-0768757b: score=2.15, levels=2.0/9, actions=92, tokens=68221
  vc33-5430563c: score=2.16, levels=1.0/7, actions=75, tokens=67531
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=290, tokens=67742
