ts_utc,gpu_util_pct,gpu_mem_used_mib,gpu_mem_total_mib,gpu_power_w,cpu_util_pct,mem_used_mib,mem_total_mib
2026-07-18T21:50:01Z,0,0,97887,87.99,4.7,2217,181114
2026-07-18T21:50:21Z,0,0,97887,47.65,1.3,2718,181114
2026-07-18T21:50:41Z,0,0,97887,47.49,2.6,3096,181114
2026-07-18T21:51:01Z,0,0,97887,47.40,5.1,2978,181114
2026-07-18T21:51:21Z,0,0,97887,47.37,2.7,3107,181114
2026-07-18T21:51:41Z,0,3,97887,47.29,4.3,5638,181114
2026-07-18T21:52:01Z,0,37117,97887,87.98,3.4,8400,181114
2026-07-18T21:52:21Z,0,37799,97887,101.75,3.4,9044,181114
2026-07-18T21:52:41Z,0,37801,97887,89.60,3.8,9229,181114
2026-07-18T21:53:01Z,9,41925,97887,116.09,2.1,9153,181114
2026-07-18T21:53:21Z,88,41931,97887,150.67,2.2,9020,181114
2026-07-18T21:53:41Z,0,41351,97887,89.95,21.1,41933,181114
2026-07-18T21:54:01Z,0,41351,97887,89.41,33.4,36659,181114
2026-07-18T21:54:21Z,0,41351,97887,89.12,14.3,17788,181114
2026-07-18T21:54:41Z,0,65693,97887,89.94,2.1,17703,181114
2026-07-18T21:55:01Z,0,65693,97887,89.27,2.1,16742,181114
2026-07-18T21:55:21Z,99,89857,97887,420.33,2.5,15781,181114
2026-07-18T21:55:42Z,0,89213,97887,91.04,2.0,13127,181114
2026-07-18T21:56:02Z,0,89213,97887,89.89,1.0,11854,181114
2026-07-18T21:56:22Z,0,89213,97887,89.43,2.1,10890,181114
2026-07-18T21:56:42Z,0,89219,97887,89.21,3.6,11100,181114
2026-07-18T21:57:02Z,99,89223,97887,598.88,2.3,11130,181114
2026-07-18T21:57:22Z,100,89225,97887,543.78,2.9,10971,181114
2026-07-18T21:57:42Z,99,89225,97887,513.11,2.7,10760,181114
2026-07-18T21:58:02Z,100,89225,97887,483.80,2.6,10646,181114
2026-07-18T21:58:22Z,100,89225,97887,411.14,2.7,10586,181114
2026-07-18T21:58:42Z,99,89233,97887,507.60,3.0,10553,181114
2026-07-18T21:59:02Z,100,89233,97887,412.56,2.6,10517,181114
2026-07-18T21:59:22Z,100,89239,97887,413.87,2.8,10532,181114
2026-07-18T21:59:42Z,100,89239,97887,476.05,2.7,10501,181114
2026-07-18T22:00:02Z,100,89245,97887,466.86,2.7,10536,181114
2026-07-18T22:00:22Z,99,89247,97887,605.05,2.8,10552,181114
2026-07-18T22:00:42Z,100,89249,97887,565.39,3.1,10554,181114
2026-07-18T22:01:02Z,100,89253,97887,516.93,2.9,10561,181114
2026-07-18T22:01:22Z,100,89253,97887,581.77,2.9,10560,181114
2026-07-18T22:01:42Z,100,89259,97887,577.04,3.0,10540,181114
2026-07-18T22:02:02Z,98,89259,97887,604.41,2.8,10544,181114
2026-07-18T22:02:22Z,100,89259,97887,534.16,3.0,10572,181114
2026-07-18T22:02:42Z,100,89263,97887,417.67,3.1,10628,181114
2026-07-18T22:03:02Z,99,89267,97887,587.73,3.0,10618,181114
2026-07-18T22:03:22Z,100,89267,97887,602.25,2.9,10612,181114
2026-07-18T22:03:42Z,100,89267,97887,556.63,3.1,10612,181114
2026-07-18T22:04:02Z,100,89271,97887,523.30,2.8,10620,181114
2026-07-18T22:04:22Z,100,89273,97887,600.17,3.0,10691,181114
2026-07-18T22:04:42Z,100,89275,97887,601.11,3.3,10754,181114
2026-07-18T22:05:02Z,100,89277,97887,419.08,2.8,10716,181114
2026-07-18T22:05:22Z,100,89277,97887,420.64,3.1,10671,181114
2026-07-18T22:05:42Z,100,89279,97887,600.43,3.0,10664,181114
2026-07-18T22:06:02Z,100,89281,97887,509.41,3.0,10655,181114
2026-07-18T22:06:22Z,99,89285,97887,596.51,2.9,10649,181114
2026-07-18T22:06:43Z,100,89285,97887,597.87,3.6,10749,181114
2026-07-18T22:07:03Z,99,89287,97887,601.11,2.7,10683,181114
2026-07-18T22:07:23Z,100,89287,97887,417.28,2.9,10652,181114
2026-07-18T22:07:43Z,99,89291,97887,593.39,3.0,10647,181114
2026-07-18T22:08:03Z,100,89291,97887,420.93,2.8,10636,181114
2026-07-18T22:08:23Z,100,89295,97887,583.88,3.0,10616,181114
2026-07-18T22:08:43Z,99,89295,97887,597.94,3.3,10805,181114
2026-07-18T22:09:03Z,99,89303,97887,587.18,3.2,10802,181114
2026-07-18T22:09:23Z,100,89303,97887,560.22,3.1,10792,181114
2026-07-18T22:09:43Z,100,89307,97887,604.51,2.8,10729,181114
2026-07-18T22:10:03Z,100,89307,97887,530.25,3.0,10705,181114
2026-07-18T22:10:23Z,100,89311,97887,600.56,3.1,10716,181114
2026-07-18T22:10:43Z,100,89311,97887,604.05,3.1,10881,181114
2026-07-18T22:11:03Z,100,89315,97887,603.26,3.1,10832,181114
2026-07-18T22:11:23Z,100,89315,97887,510.03,3.1,10843,181114
2026-07-18T22:11:43Z,100,89319,97887,601.12,2.8,10805,181114
2026-07-18T22:12:03Z,100,89319,97887,599.75,2.9,10765,181114
2026-07-18T22:12:23Z,100,89321,97887,431.53,3.5,10855,181114
2026-07-18T22:12:43Z,100,89325,97887,419.82,3.2,11041,181114
2026-07-18T22:13:03Z,100,89327,97887,603.58,3.1,10927,181114
2026-07-18T22:13:23Z,100,89327,97887,419.46,2.9,10870,181114
2026-07-18T22:13:43Z,100,89331,97887,604.81,3.1,10928,181114
2026-07-18T22:14:03Z,100,89331,97887,491.98,3.0,10884,181114
2026-07-18T22:14:23Z,100,89331,97887,478.09,3.0,10875,181114
2026-07-18T22:14:43Z,100,89333,97887,419.45,3.2,11018,181114
2026-07-18T22:15:03Z,100,89335,97887,604.20,2.7,10921,181114
2026-07-18T22:15:23Z,100,89339,97887,418.80,3.0,10906,181114
2026-07-18T22:15:43Z,100,89341,97887,566.23,2.7,10862,181114
2026-07-18T22:16:03Z,100,89341,97887,418.21,2.9,10898,181114
2026-07-18T22:16:23Z,100,89345,97887,599.70,2.9,10951,181114
2026-07-18T22:16:43Z,100,89347,97887,421.63,3.5,11041,181114
2026-07-18T22:17:03Z,100,89347,97887,600.84,2.9,10956,181114
2026-07-18T22:17:23Z,99,89347,97887,599.35,3.2,10970,181114
2026-07-18T22:17:43Z,100,89347,97887,527.57,2.8,10914,181114
2026-07-18T22:18:04Z,100,89349,97887,602.60,2.8,10912,181114
2026-07-18T22:18:24Z,100,89353,97887,421.60,2.9,10917,181114
2026-07-18T22:18:44Z,100,89353,97887,417.07,3.2,11104,181114
2026-07-18T22:19:04Z,100,89353,97887,417.90,2.8,10996,181114
2026-07-18T22:19:24Z,100,89357,97887,582.08,3.1,10978,181114
2026-07-18T22:19:44Z,100,89357,97887,496.76,2.9,10963,181114
2026-07-18T22:20:04Z,100,89357,97887,599.34,2.9,10935,181114
2026-07-18T22:20:24Z,100,89361,97887,479.54,2.7,10926,181114
2026-07-18T22:20:44Z,100,89365,97887,422.79,3.2,10952,181114
2026-07-18T22:21:04Z,100,89367,97887,420.85,3.7,11090,181114
2026-07-18T22:21:24Z,100,89367,97887,421.01,2.8,11045,181114
2026-07-18T22:21:44Z,100,89369,97887,457.44,3.1,11065,181114
2026-07-18T22:22:04Z,100,89373,97887,522.61,3.0,11035,181114
2026-07-18T22:22:24Z,100,89375,97887,419.54,2.6,11042,181114
2026-07-18T22:22:44Z,100,89375,97887,418.64,2.8,11057,181114
2026-07-18T22:23:04Z,100,89375,97887,551.38,3.0,11131,181114
2026-07-18T22:23:24Z,100,89377,97887,421.01,2.8,11123,181114
2026-07-18T22:23:44Z,100,89377,97887,555.05,2.9,11074,181114
