benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-18 21:56:31
ended:     2026-07-19 00:08:46
duration:  2h 12m 14s
mean score:    1.75
median score:  0.08
total actions: 2953
total tokens:  1743104
generated tokens/sec: 219.67 (job wallclock)
total wallclock: 198053.1s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=70, tokens=72932
  bp35-0a0ad940: score=0.08, levels=1.0/9, actions=188, tokens=72757
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=185, tokens=73182
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=73, tokens=73725
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=119, tokens=72794
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=49, tokens=72011
  g50t-5849a774: score=3.57, levels=1.0/7, actions=45, tokens=53246
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=106, tokens=72295
  lf52-271a04aa: score=1.82, levels=1.0/10, actions=154, tokens=71711
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=23, tokens=61865
  ls20-9607627b: score=0.13, levels=1.0/7, actions=181, tokens=64037
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=51, tokens=73976
  r11l-495a7899: score=4.76, levels=1.0/6, actions=73, tokens=71913
  re86-8af5384d: score=6.90, levels=2.0/8, actions=78, tokens=53029
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=40, tokens=73048
  sb26-7fbdac44: score=6.37, levels=3.0/8, actions=259, tokens=72645
  sc25-635fd71a: score=11.25, levels=2.0/6, actions=223, tokens=71938
  sk48-d8078629: score=0.00, levels=0.0/8, actions=184, tokens=73609
  sp80-589a99af: score=0.75, levels=1.0/6, actions=121, tokens=73011
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=126, tokens=73816
  tn36-ef4dde99: score=0.54, levels=1.0/7, actions=82, tokens=73898
  tr87-cd924810: score=0.00, levels=0.0/6, actions=119, tokens=65864
  tu93-0768757b: score=5.07, levels=2.0/9, actions=67, tokens=60434
  vc33-5430563c: score=0.21, levels=1.0/7, actions=48, tokens=73307
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=289, tokens=72061
