ts_utc,gpu_util_pct,gpu_mem_used_mib,gpu_mem_total_mib,gpu_power_w,cpu_util_pct,mem_used_mib,mem_total_mib
2026-07-18T21:50:25Z,0,0,97887,47.55,4.9,2256,181114
2026-07-18T21:50:45Z,0,0,97887,47.55,1.3,2804,181114
2026-07-18T21:51:05Z,0,0,97887,47.53,3.4,3163,181114
2026-07-18T21:51:25Z,0,0,97887,47.53,4.9,3200,181114
2026-07-18T21:51:45Z,0,0,97887,47.53,2.0,3035,181114
2026-07-18T21:52:05Z,0,3,97887,47.43,3.8,5739,181114
2026-07-18T21:52:25Z,0,37117,97887,85.90,3.1,8277,181114
2026-07-18T21:52:46Z,0,37799,97887,102.45,2.1,8532,181114
2026-07-18T21:53:06Z,95,37801,97887,130.79,2.1,9065,181114
2026-07-18T21:53:26Z,0,41927,97887,104.77,2.1,9257,181114
2026-07-18T21:53:46Z,92,41931,97887,141.55,2.2,9291,181114
2026-07-18T21:54:06Z,0,41351,97887,86.94,23.9,48572,181114
2026-07-18T21:54:26Z,0,41351,97887,86.56,33.3,31176,181114
2026-07-18T21:54:46Z,0,41351,97887,86.39,10.7,18749,181114
2026-07-18T21:55:06Z,0,65693,97887,86.88,2.1,17900,181114
2026-07-18T21:55:26Z,0,65693,97887,86.59,2.1,16856,181114
2026-07-18T21:55:46Z,62,85251,97887,313.77,2.5,16063,181114
2026-07-18T21:56:06Z,0,89213,97887,87.58,1.8,13571,181114
2026-07-18T21:56:26Z,0,89213,97887,86.85,1.6,12059,181114
2026-07-18T21:56:46Z,0,89213,97887,86.53,1.4,10977,181114
2026-07-18T21:57:06Z,0,89219,97887,86.49,3.1,11280,181114
2026-07-18T21:57:26Z,100,89221,97887,599.86,2.2,11023,181114
2026-07-18T21:57:46Z,99,89223,97887,476.07,2.8,11053,181114
2026-07-18T21:58:06Z,100,89225,97887,489.62,2.8,10941,181114
2026-07-18T21:58:26Z,100,89225,97887,438.52,2.6,10858,181114
2026-07-18T21:58:46Z,100,89225,97887,393.20,2.7,10773,181114
2026-07-18T21:59:06Z,100,89231,97887,462.50,3.0,10743,181114
2026-07-18T21:59:26Z,100,89235,97887,394.17,2.7,10698,181114
2026-07-18T21:59:46Z,100,89239,97887,601.05,2.8,10657,181114
2026-07-18T22:00:06Z,100,89243,97887,484.78,2.7,10638,181114
2026-07-18T22:00:26Z,99,89247,97887,514.61,2.7,10587,181114
2026-07-18T22:00:46Z,99,89251,97887,449.89,2.8,10568,181114
2026-07-18T22:01:06Z,100,89257,97887,519.54,3.1,10638,181114
2026-07-18T22:01:26Z,100,89261,97887,602.05,2.7,10581,181114
2026-07-18T22:01:46Z,99,89263,97887,604.24,3.0,10567,181114
