benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-18 21:57:00
ended:     2026-07-19 00:09:48
duration:  2h 12m 47s
mean score:    1.67
median score:  0.00
total actions: 2899
total tokens:  1617576
generated tokens/sec: 203.03 (job wallclock)
total wallclock: 198117.9s

per-game (mean across passes):
  ar25-0c556536: score=2.78, levels=1.0/8, actions=76, tokens=68708
  bp35-0a0ad940: score=0.01, levels=1.0/9, actions=448, tokens=65712
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=136, tokens=67746
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=192, tokens=68102
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=65, tokens=67521
  ft09-0d8bbf25: score=8.59, levels=2.0/6, actions=58, tokens=68894
  g50t-5849a774: score=0.00, levels=0.0/7, actions=56, tokens=51407
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=123, tokens=66859
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=59, tokens=68189
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=24, tokens=43592
  ls20-9607627b: score=0.00, levels=0.0/7, actions=57, tokens=67891
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=48, tokens=63909
  r11l-495a7899: score=2.94, levels=1.0/6, actions=106, tokens=67416
  re86-8af5384d: score=8.33, levels=2.0/8, actions=78, tokens=63747
  s5i5-18d95033: score=1.16, levels=1.0/8, actions=68, tokens=69194
  sb26-7fbdac44: score=2.78, levels=1.0/8, actions=130, tokens=68488
  sc25-635fd71a: score=0.33, levels=1.0/6, actions=212, tokens=67798
  sk48-d8078629: score=0.00, levels=0.0/8, actions=212, tokens=67299
  sp80-589a99af: score=0.00, levels=0.0/6, actions=177, tokens=68232
  su15-1944f8ab: score=2.22, levels=1.0/9, actions=54, tokens=60395
  tn36-ef4dde99: score=3.57, levels=1.0/7, actions=36, tokens=68962
  tr87-cd924810: score=0.00, levels=0.0/6, actions=207, tokens=57097
  tu93-0768757b: score=6.16, levels=2.0/9, actions=41, tokens=61807
  vc33-5430563c: score=0.00, levels=0.0/7, actions=49, tokens=59894
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=187, tokens=68717
