benchmark: duck-harness-kaggle
solver:    duck-harness
games:     17
passes:    1
runs:      17 (won: 1)
started:   2026-07-26 05:43:36
ended:     2026-07-26 07:56:10
duration:  2h 12m 34s
mean score:    7.89
median score:  0.00
total actions: 2756
total tokens:  1562010
generated tokens/sec: 196.37 (job wallclock)
total wallclock: 132410.2s

per-game (mean across passes):
  ac02: score=0.00, levels=0.0/10, actions=81, tokens=97496
  ar02: score=1.18, levels=2.0/10, actions=174, tokens=98009
  cr01: score=55.08, levels=9.0/10, actions=250, tokens=90887
  fr01: score=0.00, levels=0.0/5, actions=232, tokens=96027
  gh14: score=0.00, levels=0.0/5, actions=294, tokens=93844
  lb03: score=0.00, levels=0.0/12, actions=113, tokens=96387
  pc01: score=0.00, levels=1.0/7, actions=253, tokens=84570
  pi01: score=0.00, levels=0.0/9, actions=147, tokens=96598
  ps01: score=0.00, levels=1.0/1, actions=108, tokens=67532
  pt01: score=0.00, levels=0.0/3, actions=345, tokens=95108
  px02: score=0.00, levels=3.0/9, actions=69, tokens=97381
  sh01: score=2.84, levels=2.0/8, actions=127, tokens=98951
  sn02: score=75.00, levels=6.0/7, actions=66, tokens=94408
  td05: score=0.00, levels=0.0/5, actions=164, tokens=76470
  ts01: score=0.00, levels=0.0/5, actions=155, tokens=95158
  ws03-v1: score=0.00, levels=0.0/7, actions=129, tokens=92719
  ws04-v1: score=0.00, levels=0.0/7, actions=49, tokens=90465
