benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-26 22:17:52
ended:     2026-07-26 23:23:52
duration:  1h 6m 0s
mean score:    0.00
median score:  0.00
total actions: 59
total tokens:  447783
generated tokens/sec: 113.06 (job wallclock)
total wallclock: 99008.3s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=6, tokens=26160
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=2, tokens=38250
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=2, tokens=8492
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=4, tokens=24723
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=2, tokens=18537
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=2, tokens=7018
  g50t-5849a774: score=0.00, levels=0.0/7, actions=1, tokens=31201
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=4, tokens=30346
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=1, tokens=11121
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=5, tokens=38410
  ls20-9607627b: score=0.00, levels=0.0/7, actions=0, tokens=0
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=2, tokens=6919
  r11l-495a7899: score=0.00, levels=0.0/6, actions=4, tokens=26850
  re86-8af5384d: score=0.00, levels=0.0/8, actions=1, tokens=48694
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=1, tokens=8333
  sb26-7fbdac44: score=0.00, levels=0.0/8, actions=3, tokens=19224
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=4, tokens=23085
  sk48-d8078629: score=0.00, levels=0.0/8, actions=1, tokens=18073
  sp80-589a99af: score=0.00, levels=0.0/6, actions=1, tokens=9198
  su15-1944f8ab: score=0.00, levels=0.0/9, actions=4, tokens=7673
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=0, tokens=0
  tr87-cd924810: score=0.00, levels=0.0/6, actions=1, tokens=12686
  tu93-0768757b: score=0.00, levels=0.0/9, actions=1, tokens=3028
  vc33-5430563c: score=0.00, levels=0.0/7, actions=2, tokens=13333
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=5, tokens=16429
