benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-07-30 22:50:36
ended:     2026-07-31 01:51:25
duration:  3h 0m 49s
mean score:    1.18
median score:  0.00
total actions: 2367
total tokens:  1314480
generated tokens/sec: 121.16 (job wallclock)
total wallclock: 270290.4s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=145, tokens=33611
  bp35-0a0ad940: score=0.29, levels=1.0/9, actions=136, tokens=56832
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=105, tokens=41860
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=88, tokens=52035
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=54, tokens=54776
  ft09-0d8bbf25: score=4.16, levels=1.0/6, actions=118, tokens=53267
  g50t-5849a774: score=0.00, levels=0.0/7, actions=32, tokens=52255
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=74, tokens=60794
  lf52-271a04aa: score=1.61, levels=1.0/10, actions=92, tokens=48477
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=29, tokens=57201
  ls20-9607627b: score=0.00, levels=0.0/7, actions=56, tokens=55344
  m0r0-492f87ba: score=1.71, levels=1.0/6, actions=51, tokens=51463
  r11l-495a7899: score=0.66, levels=1.0/6, actions=65, tokens=58498
  re86-8af5384d: score=8.33, levels=2.0/8, actions=62, tokens=34820
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=64, tokens=65709
  sb26-7fbdac44: score=2.04, levels=1.0/8, actions=405, tokens=64379
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=96, tokens=55962
  sk48-d8078629: score=0.00, levels=0.0/8, actions=93, tokens=69248
  sp80-589a99af: score=0.64, levels=1.0/6, actions=136, tokens=44566
  su15-1944f8ab: score=0.29, levels=1.0/9, actions=68, tokens=56567
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=74, tokens=48122
  tr87-cd924810: score=0.00, levels=0.0/6, actions=73, tokens=45257
  tu93-0768757b: score=3.49, levels=2.0/9, actions=63, tokens=50220
  vc33-5430563c: score=3.57, levels=2.0/7, actions=48, tokens=59424
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=140, tokens=43793
