benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-08-10 17:35:39
ended:     2026-08-10 19:47:58
duration:  2h 12m 19s
mean score:    0.26
median score:  0.00
total actions: 1417
total tokens:  552395
generated tokens/sec: 69.58 (job wallclock)
total wallclock: 198044.2s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=42, tokens=21452
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=69, tokens=25137
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=77, tokens=24540
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=50, tokens=19201
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=19, tokens=19398
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=19, tokens=24645
  g50t-5849a774: score=0.00, levels=0.0/7, actions=188, tokens=25687
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=68, tokens=24910
  lf52-271a04aa: score=0.00, levels=0.0/10, actions=10, tokens=26084
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=2, tokens=20477
  ls20-9607627b: score=0.00, levels=0.0/7, actions=70, tokens=25505
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=174, tokens=24800
  r11l-495a7899: score=0.00, levels=0.0/6, actions=17, tokens=25411
  re86-8af5384d: score=0.39, levels=1.0/8, actions=142, tokens=22488
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=24, tokens=21806
  sb26-7fbdac44: score=0.66, levels=1.0/8, actions=37, tokens=23242
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=41, tokens=23952
  sk48-d8078629: score=0.00, levels=0.0/8, actions=42, tokens=22591
  sp80-589a99af: score=0.00, levels=0.0/6, actions=63, tokens=20067
  su15-1944f8ab: score=0.00, levels=0.0/9, actions=10, tokens=24951
  tn36-ef4dde99: score=3.57, levels=1.0/7, actions=9, tokens=18599
  tr87-cd924810: score=0.00, levels=0.0/6, actions=1, tokens=3762
  tu93-0768757b: score=0.89, levels=1.0/9, actions=53, tokens=25972
  vc33-5430563c: score=1.04, levels=1.0/7, actions=15, tokens=17662
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=175, tokens=20056
