benchmark: duck-harness-kaggle
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-08-10 17:26:05
ended:     2026-08-10 19:38:09
duration:  2h 12m 3s
mean score:    0.39
median score:  0.00
total actions: 975
total tokens:  524283
generated tokens/sec: 66.17 (job wallclock)
total wallclock: 198015.1s

per-game (mean across passes):
  ar25-0c556536: score=0.00, levels=0.0/8, actions=33, tokens=23633
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=65, tokens=10919
  cd82-fb555c5d: score=0.00, levels=0.0/6, actions=46, tokens=17696
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=58, tokens=22006
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=39, tokens=19972
  ft09-0d8bbf25: score=0.00, levels=0.0/6, actions=1, tokens=16854
  g50t-5849a774: score=0.00, levels=0.0/7, actions=42, tokens=23704
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=10, tokens=14437
  lf52-271a04aa: score=1.82, levels=1.0/10, actions=12, tokens=20036
  lp85-305b61c3: score=0.00, levels=0.0/8, actions=14, tokens=21057
  ls20-9607627b: score=0.00, levels=0.0/7, actions=81, tokens=24416
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=83, tokens=24063
  r11l-495a7899: score=0.00, levels=0.0/6, actions=20, tokens=22193
  re86-8af5384d: score=0.00, levels=0.0/8, actions=25, tokens=19267
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=26, tokens=23964
  sb26-7fbdac44: score=1.56, levels=1.0/8, actions=24, tokens=21822
  sc25-635fd71a: score=0.00, levels=0.0/6, actions=34, tokens=23776
  sk48-d8078629: score=0.00, levels=0.0/8, actions=26, tokens=14621
  sp80-589a99af: score=0.00, levels=0.0/6, actions=68, tokens=23433
  su15-1944f8ab: score=2.03, levels=1.0/9, actions=29, tokens=22904
  tn36-ef4dde99: score=3.57, levels=1.0/7, actions=17, tokens=23062
  tr87-cd924810: score=0.00, levels=0.0/6, actions=129, tokens=18750
  tu93-0768757b: score=0.83, levels=1.0/9, actions=43, tokens=24351
  vc33-5430563c: score=0.00, levels=0.0/7, actions=28, tokens=23824
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=22, tokens=23523
