rank	flashpoint_id	title	developer	year	source_domain	source	content_tier	crossmedia_signals	copyright_tags	tags	review_bucket	core_mechanic_tags	mechanic_tags	mechanic_families	mechanic_phrases	retrieval_score	nearest_existing_id	nearest_existing_title	nearest_existing_similarity	description
1	05693c47-8aa6-43b0-846a-6904b8004e64	Single Dimensional Cellular Automaton	bartamues	2009	newgrounds.com	https://www.newgrounds.com/portal/view/501716	gameplay			Toy; Cellular Automata; Fractal	Fractal	Fractal; Cellular Automata	Fractal; Cellular Automata	system-dynamics	cellular automata	19.7959	f015	Factory Balls	0.0623	Via cellular automata, you can create your own unique fractal! Author Comments: Use single dimensional cellular automata to produce your own unique fractal. Supports easy input of your own fractal 'seed', or freestyle it. Notice that every so often an iteration will produce 'clones' of even highly complex input seeds. Experiment with it, and some truly beautiful and amazing results can be produced.
2	97c8b808-0e7d-4f5a-87b9-3d0c4c084cb4	Mothership Warfare	Anton Fedoruk	2009	flonga.com	http://www.flonga.com/play/mothership-warfare.htm	gameplay			Strategy; Space; Science Fiction; Lane-Based Strategy	Lane-Based Strategy	Lane-Based Strategy	Lane-Based Strategy	goal-revision; indirect-physics	must not; balance	15.0628	q089	Persistent Passenger	0.0787	The goal of the game is to destroy the enemy mothership by changing the force balance. You must not let the enemy units to get to your ship, instead you have to get your units to the enemy ship. You win when the balance bar becomes filled. Change the current hatch/road by pressing UP/DOWN on the keyboard. Select current unit by pressing LEFT/RIGHT. Press SPACE in order to send the unit. Alternatively, you may use and click on the unit buttons directly. Every minute the Storm Attack is prepared and 5 units of a selected type go from all the hatches. If neither side wins during 3 minutes the Final Attack starts and units of all available types go from all the hatches. The party which is ahead 
3	e1543763-dba5-4abf-aa74-736b96ff59f4	Gravity Water	If Else Factory	2015	at7games.com	https://at7games.com/index.php/game/Gravity_Water/113	gameplay			Arcade; Puzzle; Score-Attack; Physics; Sliding; Klotski	Klotski	Klotski	Klotski; Sliding; Physics	indirect-physics	flow; gravity	14.8893	f031	Wake Up the Box	0.0919	Slide iron plates to release water. This puzzle game is designed to train your brain. Slide iron plates to create a path for water to flow out of the box. Unique situations. Unlimited arrangements, physical and gravity forces are brought together in this game. Fewer slides you make to release the water, the more points you earn.
4	b410e9d0-3fa4-4b9d-a127-7830ebc4f3fa	The Computer Puzzle: Interactive Knowledge Board	Game Morph		planeta42.com	http://planeta42.com/it/computerpuzzle/game.html	gameplay			Educational; Puzzle; Computer Science; Mouse-only; Assemblage	Assemblage	Assemblage	Assemblage	construction	circuit	14.6256	f031	Wake Up the Box	0.0528	Simple computer anatomy. Computer structure in a fun online IT learning game. The Computer Parts Puzzle is a free online knowledge level game, about the computer structure. Drag and drop the computer parts in their correct places in the computer box. Minute to win it game. A small Computer Science Class puzzle for desktop computers, laptops and tablets, which may be played in the web browser. The IT Knowledge Board include 10 hardware parts to play with. Part of the Interactive Computer Tools educational games. This fun learning game may answer some of the following questions: Where is the power source usually situated in the computer case? Where is the mother board usually situated in the c
5	6dfca106-ecc8-4d96-b1b2-95607687d1e6	Sorter Bob	Nicholas Barrios	2008	armorgames.com	https://armorgames.com/play/1562/sorter-bob	gameplay			Arcade; Score-Attack; Time-Attack; Sorting; Auto-zipped	Sorting	Sorting	Sorting	indirect-physics	balance	12.6241	f006	Multitask	0.0617	Description This is the game we've working on part-time for the past few weeks. We tried to keep it simple and hopefully fun. The objective is to sort a certain amount of widgets in the time alloted. Matching the patterns onscreen gives you a score multiplier. Strike a balance between sorting the widgets and matching the patterns to increase your score. Controls It's all in the mouse. Click to pick up the widgets and drag them to the matching pipes. You don't need to click again; the vacuum pipe will take the widget from the claw. Clicking again will drop the widget (not something you usually want to do.)
6	8df085d9-9fde-4fe8-9fa3-cb71e9a506dd	Chained Smiley	fortunacus	2011	newgrounds.com	https://www.newgrounds.com/portal/view/563984	gameplay			Action; Puzzle; Upgrade; Mild Language; Sequential	Sequential	Sequential	Sequential	indirect-physics	chain reaction	12.5204	a028	Shared Pedal	0.0527	Do you realize fart and smile have a connection? Author Comments: A chain reaction game about smileys, upgrade each time to get better score, and fulfill your target!!! get used of 4 kind of smileys, each of its own abilities, enjoy!!! Achievement has been added!!! ADD MORE DIFFICULTY ON PSY SMILEY Very special thanks for Tom that make this game on frontpage, thank you very much PS: several days ahead I will submit my newest game, Bieber Transformation, wait for it,thanks THIS GAME TOTALLY AWESOME, i CANNOT DESCRIBE MY SELF, AND i GOT NEARLY 2000USD FROM THIS GAME IN GAME ADS AND DONATION, THANKS A LOT!!!!!!!!!
7	6f664a8e-5eab-4aa8-ae87-40bc865b73e9	Pyramids of Ra	Klas Kroon		oos.moxiecode.com	http://oos.moxiecode.com/examples/pyramids/index.html	gameplay			Puzzle; Pixel; Tile Traveler; Auto-zipped	Tile Traveler	Tile Traveler	Tile Traveler	indirect-physics	bounce	12.4286	g027	Cue	0.0749	"Arrowkeys to control. Been playing this Gameboy-title for a while. It's called Pyramids of Ra and the Gameboy-version was published by a company called Matchbox. Found out it was created by a guy called Ross Harris who gave it away(?), check out: The objective of the game is to bounce on all blocks until they are removed and still have an open path back to the startingpoint(the ""S""). You start on the ""S"", but you can't jump on it again until all blocks have been removed... Also, you need to jump before the countdown-timer reaches zero, otherwise you will be ""forcejumped"" in the last direction you jumped. Simple and brilliant! So I thought this would be a fun exercise. There are only 7 levels"
8	9a9ac436-7591-4424-8fd9-d5e97ac2527d	Chroma	kbaum	2009	kongregate.com	https://www.kongregate.com/games/kbaum/chroma	gameplay			Puzzle; Experimental; Logic; Mouse-only; Mixing	Mixing	Mixing	Mixing; Experimental	information	blind	12.2553	a057	Thermostat Tiles	0.0749	Mix colors with precision to match the target color. Not for the feint of heart. Or the color blind. Match the border color by dragging paint drops to the center.
9	6d05c8e5-3283-4fd2-b264-1f60ede496ee	Angry Sheep			gamesonly.com	https://www.gamesonly.com/free-content/	gameplay			Puzzle; Lemmings; Cartoon; Mouse-only	Lemmings	Lemmings	Lemmings	construction	build a bridge	12.135	a141	Reversible Scrambler	0.0797	Make sure all Angry Sheep make their way to the clipper by using different tools. For example, build a bridge, throw a granade and dig your way to the farmer. In this lemmings type of game, you can play up to 40 levels in easy, normal, hard or expert mode. Select an action at the top of the screen and click on a sheep to perform this action. How to play: Use your mouse to select an action at the top of the screen and click on a sheep to perform this action.
10	a9055d2f-0c5d-462f-895c-d5541c46370b	Phil Of The Future: Time Machine Rescue	Cricket Moon Media		disney--games.com	http://www.disney--games.com/time_machine_rescue_407.html	gameplay			Puzzle; Pipe Connector	Pipe Connector	Pipe Connector	Pipe Connector	construction	connect the	11.9256	g053	Backspin	0.0679	Phil of the Future: Time Machine Rescue game is excellent for those who like to experience adventure. Curtis has accidentally spawned himself in the future, more precisely in the year 2121. His two best friends, Phil and Keely, are trying to get him back. They are doing their best, but you'll have to help them by being careful and by always being a step ahead of time! Let's see what you need to do. How to play the game To save Curtis, as said in the how to section, you have to connect each space of the date display panel with the power supplies at the bottom of the screen. When all eight areas are connected, the date will be set back correctly, and then Curtis will be saved. Attention! You w
11	f3c84fe0-6f93-436e-8eb7-e3241653f243	Perfect/Imperfect Balance 3+ Extended Editor	ttursas	2019	kongregate.com	https://www.kongregate.com/games/ttursas/perfect-imperfect-balance-3-editor	gameplay			Arcade; Level Editor; Balancing	Balancing	Balancing	Balancing; Level Editor	indirect-physics	balance	11.8544	f031	Wake Up the Box	0.0735	Create and play your own Perfect/Imperfect Balance 3+ levels using this editor! This editor has new shapes never seen before in Perfect/Imperfect Balance games. Do you have new ideas for shapes? Please message me and I’ll implement them! Use mouse to click buttons, and move shapes. Press the HELP button for more help. Q and E change the shapes.
12	712d5573-56e6-46de-81ad-82b1a47124b7	The Black Knight Rises	Mythologic; Zangrutz; descara; samulis	2013	newgrounds.com	https://www.newgrounds.com/portal/view/618466	gameplay			Platformer; Adventure; Level Editor; Community Content; Medieval	construction		Community Content; Level Editor	construction; indirect-physics	place objects; bounce	11.0668	q035	Momentum Bank	0.0536	The princess has been kidnapped! Enter the EVIL Count Mallgoth's castle, hop, bounce and slice your way through over 50 tough and challenging levels, complete with bone crushing bosses! The Black Knight Rises will truly test your gaming skills! You must master the wall jump quickly if you hope to survive! Controls: Arrow keys: movement A: Attack Q: Quality M: Mute Make your own levels in the forge! Controls: WASD: Move around canvas Arrows: Scroll assets Mouse: Click and place objects G: Flip objects CTRL: Copy existing object Watch the trailer: tch?v=fETGwIJntfw
13	353837d3-50a9-4354-b707-ce8fcbfcf1bb	S.O.S. Demo	Motion Portrait	2007	b.bngi-channel.jp	http://b.bngi-channel.jp/psp-haruhi/	gameplay		Haruhi Suzumiya	Anime; Interactive; Mouse-only; Augmented Reality; Haruhi Suzumiya	Augmented Reality	Augmented Reality	Augmented Reality			10.8038	g005	Rube Hall	0.0213	※画面は現在開発中の「S.O.S.」をＨＰ閲覧用に処理を施したサンプルです。 ゲーム本編ではポインタを操作してキャラクターの目線を動かす仕様はございません。 ※「モーションポートレート」は、モーションポートレート株式会社の技術です。
14	94bf8559-6d46-4721-a707-bc02387de1f1	Rubik's Clock	Nick Boldt		rubiks.com	http://www.rubiks.com/clockmain.html (via Wayback Machine)	gameplay			Puzzle; Twisty Puzzle	Twisty Puzzle	Twisty Puzzle	Twisty Puzzle			10.6874	g049	Cloudbank	0.091	Goal: The goal of the game is to align all 18 clock faces to 12 o'clock - 9 on each side of the puzzle. In order to qualify for the HALL OF FAME, you must either complete the game in the least amount of seconds or the least amount of moves. If you qualify, your initials will appear with the winning time/moves until the someone else comes along and bumps you off the list. Good luck! Rules: 1. Clock faces will turn based on the conformation of the pegs (up or down, how many up or down, which orientation pattern) and the corner you choose to turn. 2. The game is solved when all 9 faces on the light side and 9 faces on the dark side are aligned to 12 o'clock. 3. Rotation will move through one ho
15	3157e38c-a4b9-45a3-b413-f271fcf59c65	Mushroom Life	Joseph Huang	2004	a.parsons.edu	http://a.parsons.edu/~joseph/k2/gameoflife/ (via web.archive.org)	gameplay			Toy; Educational; Mathematics; Informative; Cellular Automata	Cellular Automata	Cellular Automata	Cellular Automata			10.1869	g013	Rot Garden	0.0509	A Mushroom perspective on John Conway's Game of Life: 1) Click on grid to sprout mushrooms. 2) Click Start button to begin life process. Mushrooms follow these rules: For each generation, a mushroom with 1 or 0 neighbor dies (loneliness), a mushroom with 4 or more neighbors dies (overcrowding), a mushroom with 2 or 3 neighbors survives (stability), an empty space with 3 neighbors sprouts a new mushroom (birth).
