rank	tag	flash_games	flash_share	arcade_games	description
1	Adventure	22348	0.17321480	25592	
2	Arcade	22037	0.17080430	31205	
3	Puzzle	21158	0.16399135	28265	
4	Escape the Room	16931	0.13122873	17967	
5	Dress Up	11758	0.09113386	12904	
6	Score-Attack	9994	0.07746146	14258	
7	Simulation	9529	0.07385734	13102	
8	Action	7220	0.05596075	10197	
9	Platformer	5518	0.04276889	7584	
10	Shooter	4793	0.03714957	6375	
11	Educational	4220	0.03270836	6623	
12	Toy	4122	0.03194878	5993	
13	Sports	3963	0.03071641	5532	
14	Creative	3918	0.03036762	5063	
15	Time-Attack	2823	0.02188050	3795	
16	Hidden Objects	2743	0.02126043	3019	
17	Quiz	2657	0.02059387	3620	
18	Dodge	2545	0.01972578	3611	
19	Strategy	2423	0.01878018	3266	
20	Point and Click	2312	0.01791984	2646	
21	Jigsaw	1919	0.01487378	2386	
22	Driving	1888	0.01463350	2716	
23	Cooking	1844	0.01429247	2112	
24	Physics	1764	0.01367240	2363	
25	Matching	1699	0.01316860	2443	
26	Racing	1643	0.01273456	2507	
27	Other	1622	0.01257179	3025	
28	Memory	1432	0.01109914	2051	
29	Variety	1314	0.01018455	2010	
30	Scene Creator	1282	0.00993652	1480	
31	Runner	1234	0.00956448	2092	
32	Make Up	1174	0.00909943	1376	
33	Logic	1169	0.00906068	1832	
34	Match-3	1150	0.00891342	1453	
35	Role-Playing	1058	0.00820034	1468	
36	Maze	1047	0.00811508	1495	
37	Mathematics	1020	0.00790581	1595	
38	Word	1011	0.00783606	1694	
39	Timing	1008	0.00781280	1475	
40	Spot the Difference	966	0.00748727	1033	
41	Object Creator	963	0.00746402	1163	
42	Shooting Gallery	951	0.00737101	1199	
43	Coloring Book	918	0.00711523	1238	
44	Fighting	860	0.00666568	1087	
45	Time Management	853	0.00661143	993	
46	Character Creator	843	0.00653392	999	
47	Virtual World	821	0.00636340	1983	
48	Spa	799	0.00619289	866	
49	Demonstration	793	0.00614638	2780	
50	Card	753	0.00583635	1415	
51	Motocross	751	0.00582085	835	
52	Shoot 'Em Up	716	0.00554957	1053	
53	Visual Novel	714	0.00553407	1045	
54	Defense	711	0.00551082	886	
55	Beat 'Em Up	705	0.00546431	878	
56	Toss	705	0.00546431	894	
57	Tower Defense	694	0.00537905	803	
58	Science	686	0.00531705	1237	
59	Catching	677	0.00524729	914	
60	Poker	623	0.00482875	652	
61	Artillery	568	0.00440245	626	
62	Soccer	557	0.00431719	782	
63	Doctor	555	0.00430169	687	
64	Comedy	518	0.00401491	689	
65	Sliding	484	0.00375139	793	
66	Marble Popper	480	0.00372038	641	
67	Flying	470	0.00364287	830	
68	Advertisement	460	0.00356537	712	
69	Rhythm	453	0.00351111	605	
70	Choose Your Own Adventure	449	0.00348011	887	
71	Launch	444	0.00344135	509	
72	Experimental	399	0.00309257	1429	
73	First-Person Shooter	395	0.00306156	714	
74	Brick Breaker	393	0.00304606	650	
75	Parking	385	0.00298406	429	
76	Language	379	0.00293755	622	
77	Personality Quiz	379	0.00293755	937	
78	Kissing	375	0.00290655	396	
79	Cleaning	369	0.00286004	421	
80	Gambling	354	0.00274378	532	
81	Soundboard	354	0.00274378	431	
82	Level Editor	351	0.00272053	450	
83	Clicker	345	0.00267402	603	
84	Tabletop	340	0.00263527	634	
85	History	334	0.00258877	628	
86	Pellet Maze	326	0.00252676	512	
87	Tetris	325	0.00251901	551	
88	Hairdressing	318	0.00246475	340	
89	Restaurant	316	0.00244925	381	
90	Tutorial	313	0.00242600	394	
91	Typing	310	0.00240275	406	
92	Pet	303	0.00234849	409	
93	Turn-Based	297	0.00230199	441	
94	Slacking	292	0.00226323	306	
95	Run 'n' Gun	279	0.00216247	336	
96	Geography	267	0.00206946	409	
97	Print Studio	267	0.00206946	310	
98	Solitaire	260	0.00201521	700	
99	Drawing	258	0.00199971	501	
100	Computing Device	257	0.00199195	294	
101	Whack-A-Mole	256	0.00198420	349	
102	Idle	253	0.00196095	539	
103	Sudoku	252	0.00195320	326	
104	Pong	245	0.00189895	404	
105	Snake	243	0.00188344	401	
106	Dating Simulator	230	0.00178268	267	
107	Basketball	226	0.00175168	355	
108	Mahjong Solitaire	226	0.00175168	328	
109	Surgery	213	0.00165092	244	
110	Endless Flyer	205	0.00158891	495	
111	Endless Jumper	204	0.00158116	301	
112	Fixed Shooter	196	0.00151916	328	
113	Vertically-Scrolling Shooter	194	0.00150365	275	
114	Golf	190	0.00147265	311	
115	Stealth	179	0.00138739	297	
116	Stacking	172	0.00133314	257	
117	Balancing	162	0.00125563	198	
118	Billiards	157	0.00121688	205	
119	Tycoon	154	0.00119362	209	
120	Button Masher	152	0.00117812	187	
121	ePub	148	0.00114712	185	
122	Zoology	145	0.00112387	169	
123	Interactive Fiction	143	0.00110836	371	
124	Photo Gallery	142	0.00110061	149	
125	Dentist	141	0.00109286	158	
126	Pinball	139	0.00107736	231	
127	Babysitting	136	0.00105411	159	
128	Bowling	131	0.00101535	196	
129	Community Content	123	0.00095335	150	
130	Pipe Connector	119	0.00092234	165	
131	Skateboarding	119	0.00092234	198	
132	Archery	117	0.00090684	140	
133	Ragdoll	114	0.00088359	154	
134	Side-Scrolling Shooter	114	0.00088359	154	
135	Loop	112	0.00086809	144	
136	Real-Time Strategy	111	0.00086034	146	
137	Snowboarding	111	0.00086034	174	
138	Sniper	110	0.00085259	113	
139	Bounce	109	0.00084484	135	
140	Sokoban	109	0.00084484	209	
141	Baseball	106	0.00082158	156	
142	Athletics	104	0.00080608	128	
143	Vertical Drop	104	0.00080608	179	
144	Word Search	104	0.00080608	156	
145	American Football	103	0.00079833	156	
146	Slot Machine	100	0.00077508	176	
147	Fishing	98	0.00075958	143	
148	Lane-Based Strategy	96	0.00074408	116	
149	Tennis	94	0.00072857	139	
150	Cross the Road	92	0.00071307	167	
151	Biology	88	0.00068207	148	
152	Dungeon Crawler	87	0.00067432	202	
153	Computer Science	86	0.00066657	245	
154	Fortune	85	0.00065882	150	
155	Hangman	85	0.00065882	207	
156	Rock-Paper-Scissors	83	0.00064332	113	
157	Hockey	82	0.00063557	160	
158	Tic-Tac-Toe	78	0.00060456	228	
159	Cycling	76	0.00058906	111	
160	Mixing	75	0.00058131	86	
161	Connect the Dots	73	0.00056581	101	
162	Metroidvania	73	0.00056581	123	
163	Rail Shooter	71	0.00055031	89	
164	Skiing	69	0.00053480	117	
165	Bomb Maze	68	0.00052705	86	
166	Food Chain	66	0.00051155	82	
167	Sandbox	66	0.00051155	126	
168	Virtual Tour	65	0.00050380	204	
169	Astronomy	64	0.00049605	157	
170	Boxing	62	0.00048055	79	
171	Volleyball	61	0.00047280	90	
172	Lemmings	59	0.00045730	82	
173	Dice	56	0.00043404	97	
174	Bullet Hell	55	0.00042629	78	
175	Public Service Announcement	55	0.00042629	146	
176	Chess	54	0.00041854	134	
177	Health	53	0.00041079	68	
178	Surfing	53	0.00041079	74	
179	Minesweeper	52	0.00040304	110	
180	Blackjack	51	0.00039529	74	
181	Luck Roller	51	0.00039529	72	
182	Sequential	50	0.00038754	60	
183	Claw Game	49	0.00037979	63	
184	Music Video	48	0.00037204	65	
185	Collectible Card Game	47	0.00036429	57	
186	Crossword	47	0.00036429	103	
187	Walking Simulator	46	0.00035654	210	
188	Drama	45	0.00034879	54	
189	Cricket	44	0.00034104	55	
190	Farming	43	0.00033328	74	
191	Map	43	0.00033328	74	
192	Sorting	43	0.00033328	57	
193	Boating	42	0.00032553	67	
194	Survival	42	0.00032553	132	
195	Chemistry	41	0.00031778	75	
196	Pachinko	39	0.00030228	59	
197	Panorama	37	0.00028678	121	
198	Codebreaker	36	0.00027903	355	
199	Node-Based Strategy	36	0.00027903	42	
200	Collectathon	35	0.00027128	53	
201	Geometry	35	0.00027128	77	
202	Tile Traveler	34	0.00026353	48	
203	Peg Solitaire	32	0.00024803	53	
204	Skating	31	0.00024027	47	
205	Checkers	29	0.00022477	52	
206	Civics	28	0.00021702	48	
207	Nonogram	26	0.00020152	42	
208	Equestrianism	24	0.00018602	37	
209	Mining	24	0.00018602	36	
210	Reversi	24	0.00018602	47	
211	Hunting	23	0.00017827	31	
212	Theology	23	0.00017827	26	
213	Swimming	22	0.00017052	35	
214	Battleship	21	0.00016277	39	
215	Digging	21	0.00016277	47	
216	Klotski	21	0.00016277	28	
217	Repairing	21	0.00016277	24	
218	Shell Game	21	0.00016277	29	
219	Tattoo Artist	21	0.00016277	26	
220	Xiangqi	20	0.00015502	26	
221	Optical Illusion	18	0.00013951	44	
222	Bingo	17	0.00013176	36	
223	Physics Education	17	0.00013176	43	
224	Tile Merger	17	0.00013176	151	
225	Grid Toggle	16	0.00012401	36	
226	Scavenger Hunt	16	0.00012401	24	
227	Arcade Slicer	15	0.00011626	41	
228	Go	15	0.00011626	25	
229	Cellular Automata	14	0.00010851	42	
230	Engineering	14	0.00010851	27	
231	Mahjong	14	0.00010851	23	
232	Twisty Puzzle	14	0.00010851	55	
233	Shedding	13	0.00010076	21	
234	Rugby	12	0.00009301	18	
235	Vexillology	11	0.00008526	23	
236	Curling	10	0.00007751	16	
237	Economics	10	0.00007751	20	
238	Fractal	10	0.00007751	36	
239	Tower of Hanoi	10	0.00007751	23	
240	Calculator	9	0.00006976	21	
241	Ace Trumps	8	0.00006201	10	
242	Assemblage	8	0.00006201	11	
243	Ludo	8	0.00006201	14	
244	Media Studies	8	0.00006201	10	
245	Music Studies	8	0.00006201	11	
246	Ataxx	7	0.00005426	11	
247	Loading Screen	7	0.00005426	9	
248	Walk Cycle	7	0.00005426	10	
249	Clock	6	0.00004650	11	
250	Geology	6	0.00004650	6	
251	Paddle Juggle	6	0.00004650	8	
252	X-Ray Viewer	6	0.00004650	7	
253	Leek Spin	5	0.00003875	5	
254	MMO	5	0.00003875	17	
255	Shogi	5	0.00003875	8	
256	Dominoes	4	0.00003100	11	
257	Fine Art	4	0.00003100	11	
258	Reproductive Health	4	0.00003100	15	
259	Caramelldansen	3	0.00002325	3	
260	Circle Pong	3	0.00002325	5	
261	Third-Person Shooter	3	0.00002325	17	
262	Auditory Illusion	2	0.00001550	6	
263	Emulator	2	0.00001550	18	
264	Fukkireta	2	0.00001550	2	
265	Game Creation Tool	2	0.00001550	7	
266	Augmented Reality	1	0.00000775	5	
267	First Aid	1	0.00000775	7	
268	Paffendorf	1	0.00000775	1	
269	Caipirinha	0	0.00000000	0	
270	Danjo	0	0.00000000	0	
271	Finger Spin	0	0.00000000	0	
272	Pappara	0	0.00000000	0	
273	PoPiPo	0	0.00000000	0	
274	Sequence Dropper	0	0.00000000	209	
275	smooooch ・∀・	0	0.00000000	0	
276	Triple Baka	0	0.00000000	0	
277	What is Love?	0	0.00000000	0	
